feature,importance
amount,0.016002232
amount_deviation,0.0127528105
is_unusual_time,0.7222572
time_deviation,0.20252031
is_new_merchant,0.013720261
phone_activity,0.0024306497
V1,0.0010144702
V2,0.00046121664
V3,0.0028814378
V4,0.00043602384
V5,0.0006855042
V6,0.0016896765
V7,0.00052170147
V8,0.0020016653
V9,0.00039083813
V10,0.00061902625
V11,0.00085776957
V12,0.00018243826
V13,0.0008147525
V14,0.0016931338
V15,0.00040725875
V16,0.0004760497
V17,0.0031278315
V18,0.0037127854
V19,0.0005624667
V20,0.0024423464
V21,0.0040659443
V22,0.00086782034
V23,0.00040423992
